Temperature,Humidity,Wind Speed,Weather
15,38,2,Cloudy
24,67,19,Rainy
17,86,10,Sunny
18,23,9,Cloudy
38,38,2,Rainy
14,28,0,Rainy
33,79,1,Sunny
29,95,1,Cloudy
21,72,9,Cloudy
26,71,9,Sunny
29,98,19,Rainy
15,96,15,Sunny
34,95,18,Cloudy
33,46,3,Sunny
10,42,17,Cloudy
18,30,3,Rainy
19,31,1,Rainy
25,39,8,Rainy
19,97,14,Cloudy
27,62,13,Sunny
37,25,9,Rainy
28,68,12,Sunny
35,25,1,Rainy
38,33,7,Cloudy
29,29,4,Rainy
19,89,13,Rainy
12,70,10,Sunny
14,62,10,Sunny
36,66,5,Sunny
12,60,16,Rainy
24,68,17,Rainy
16,57,14,Rainy
15,37,0,Sunny
39,57,16,Rainy
10,34,4,Rainy
13,56,18,Rainy
10,56,4,Sunny
24,93,3,Cloudy
32,96,12,Rainy
27,34,10,Cloudy
34,79,2,Rainy
20,74,3,Sunny
39,99,2,Sunny
11,46,1,Sunny
29,43,2,Cloudy
16,33,19,Rainy
36,70,3,Sunny
15,43,4,Rainy
27,98,7,Sunny
16,53,0,Rainy
12,87,16,Sunny
31,35,3,Cloudy
37,75,11,Sunny
34,85,16,Sunny
27,89,14,Rainy
38,50,15,Sunny
39,43,1,Cloudy
19,21,9,Sunny
16,33,2,Rainy
29,29,2,Cloudy
28,96,8,Sunny
36,38,17,Cloudy
22,83,16,Rainy
20,87,10,Rainy
33,92,5,Cloudy
22,96,9,Cloudy
11,56,10,Sunny
34,27,5,Cloudy
31,36,19,Sunny
21,31,1,Sunny
14,36,6,Cloudy
31,55,6,Rainy
30,47,14,Sunny
12,57,16,Rainy
30,75,16,Rainy
12,49,3,Rainy
35,80,13,Rainy
12,57,14,Cloudy
30,79,7,Cloudy
15,49,7,Sunny
34,85,15,Sunny
35,78,14,Rainy
19,72,1,Cloudy
23,71,16,Cloudy
22,76,8,Cloudy
34,51,0,Cloudy
17,72,7,Cloudy
18,71,18,Sunny
19,96,0,Rainy
10,31,14,Cloudy
21,69,10,Cloudy
11,85,7,Cloudy
17,66,14,Cloudy
23,22,13,Rainy
28,24,16,Sunny
23,20,7,Rainy
31,46,9,Rainy
17,91,14,Cloudy
12,63,16,Cloudy
37,54,19,Cloudy
25,75,18,Cloudy
29,32,19,Cloudy
20,98,17,Sunny
34,83,18,Cloudy
24,76,14,Sunny
14,22,10,Sunny
12,68,16,Cloudy
31,24,10,Rainy
23,74,9,Rainy
35,85,5,Sunny
34,46,19,Cloudy
15,60,13,Sunny
33,80,10,Rainy
31,42,3,Rainy
38,38,19,Rainy
10,68,16,Cloudy
26,59,18,Rainy
21,76,0,Sunny
10,76,7,Sunny
33,34,7,Rainy
39,21,13,Sunny
25,55,15,Cloudy
33,57,15,Cloudy
23,98,13,Cloudy
28,25,1,Cloudy
14,42,1,Sunny
28,47,12,Rainy
12,58,14,Sunny
11,54,9,Sunny
19,40,5,Rainy
10,67,10,Rainy
35,75,12,Sunny
38,38,19,Rainy
21,90,3,Sunny
34,93,9,Sunny
28,95,7,Rainy
36,40,7,Sunny
26,83,18,Rainy
22,41,9,Cloudy
34,86,19,Sunny
12,79,1,Sunny
21,66,17,Cloudy
35,60,16,Cloudy
27,25,19,Rainy
10,43,0,Cloudy
10,60,8,Rainy
16,75,9,Rainy
13,67,15,Cloudy
25,53,14,Rainy
33,96,13,Rainy
28,53,14,Cloudy
26,92,11,Rainy
14,36,18,Cloudy
21,61,9,Rainy
20,20,7,Cloudy
22,23,0,Sunny
36,35,12,Sunny
31,64,13,Sunny
26,36,1,Rainy
39,24,10,Rainy
24,55,10,Cloudy
16,94,5,Sunny
13,58,8,Rainy
20,69,8,Rainy
31,44,0,Cloudy
13,52,1,Cloudy
12,32,7,Rainy
21,73,14,Cloudy
26,55,5,Cloudy
25,38,6,Cloudy
19,78,9,Cloudy
14,99,17,Sunny
14,33,17,Rainy
38,21,17,Cloudy
16,85,13,Rainy
23,63,12,Cloudy
27,55,8,Cloudy
22,60,15,Sunny
33,85,14,Cloudy
38,33,14,Sunny
14,32,15,Rainy
12,71,7,Cloudy
35,88,9,Rainy
36,71,3,Sunny
28,71,11,Cloudy
15,64,12,Sunny
13,29,4,Cloudy
39,67,16,Cloudy
30,75,18,Rainy
39,69,8,Sunny
34,90,3,Cloudy
20,81,11,Sunny
14,80,2,Sunny
21,87,4,Sunny
38,41,9,Cloudy
33,99,1,Cloudy
32,37,5,Cloudy
11,74,11,Cloudy
34,35,18,Sunny
39,81,18,Sunny
13,30,16,Sunny
16,26,12,Cloudy
31,41,14,Sunny
13,20,2,Rainy
37,71,17,Sunny
31,33,12,Rainy
31,53,14,Cloudy
26,47,10,Sunny
31,57,17,Rainy
34,47,10,Rainy
16,88,4,Rainy
13,23,3,Cloudy
23,98,18,Cloudy
25,57,4,Rainy
35,94,4,Cloudy
27,72,10,Rainy
12,83,3,Sunny
11,22,7,Cloudy
27,32,17,Cloudy
36,32,11,Cloudy
17,82,18,Sunny
16,79,1,Rainy
26,80,8,Rainy
32,20,11,Rainy
22,97,8,Rainy
38,90,16,Cloudy
11,74,19,Cloudy
31,72,12,Rainy
19,91,9,Rainy
32,74,5,Cloudy
24,60,0,Rainy
36,21,1,Cloudy
25,55,4,Cloudy
15,82,6,Rainy
24,50,19,Sunny
27,24,5,Rainy
18,37,5,Rainy
39,79,17,Sunny
32,61,4,Rainy
25,40,11,Cloudy
11,79,14,Rainy
38,89,8,Cloudy
33,91,4,Cloudy
13,84,13,Cloudy
26,92,0,Rainy
31,62,7,Rainy
36,29,7,Rainy
27,55,3,Sunny
22,51,14,Sunny
32,38,18,Sunny
33,44,12,Cloudy
22,44,11,Rainy
14,24,16,Cloudy
25,90,16,Rainy
13,21,4,Cloudy
